open_time,open,high,low,close
1787766300000,78480.7,78484.7,78328.7,78404.0
1787767200000,78404.0,78641.3,78360.4,78535.9
1787768100000,78535.8,78570.8,78397.8,78432.1
1787769000000,78432.2,78456.3,78244.2,78271.6
1787769900000,78271.6,78474.1,78256.8,78440.1
1787770800000,78440.1,78486.8,78340.6,78347.9
1787771700000,78348.0,78551.4,78252.1,78491.9
1787772600000,78491.9,78515.4,78340.0,78399.0
1787773500000,78399.1,78516.4,78399.0,78434.9
1787774400000,78434.9,78492.3,78354.3,78377.5
1787775300000,78377.6,78422.7,78156.5,78364.8
1787776200000,78364.8,78395.4,78242.1,78358.5
1787777100000,78358.6,78421.9,78341.4,78418.2
1787778000000,78418.2,78770.0,78347.8,78753.2
1787778900000,78753.3,78800.0,78666.9,78706.7
1787779800000,78706.8,78800.0,78612.1,78681.0
1787780700000,78681.0,78770.0,78630.3,78682.9
1787781600000,78682.9,78839.1,78640.0,78746.5
1787782500000,78746.6,78945.0,78724.9,78784.3
1787783400000,78784.3,78784.3,78552.0,78658.1
1787784300000,78658.1,78702.6,78513.7,78656.6
1787785200000,78656.6,78717.8,78607.3,78672.1
1787786100000,78672.1,78876.5,78636.0,78821.9
1787787000000,78821.9,79028.4,78821.8,79010.4
1787787900000,79010.4,79138.7,78962.0,78989.4
1787788800000,78989.4,78999.4,78774.3,78803.6
1787789700000,78803.6,78909.8,78775.6,78871.3
1787790600000,78871.3,78871.3,78750.1,78842.5
1787791500000,78842.5,78853.2,78649.9,78650.1
1787792400000,78650.0,78747.1,78593.2,78628.1
1787793300000,78628.1,78936.1,78522.1,78902.9
1787794200000,78902.9,78947.8,78676.9,78677.0
1787795100000,78676.9,78989.0,78662.9,78864.6
1787796000000,78864.6,78951.0,78818.8,78843.2
1787796900000,78842.7,78842.8,78686.9,78726.5
1787797800000,78726.5,78767.4,78666.1,78700.0
1787798700000,78699.9,78756.0,78680.0,78697.2
1787799600000,78697.2,78754.2,78635.0,78641.4
1787800500000,78641.4,78967.0,78605.5,78862.1
1787801400000,78862.1,78920.6,78799.4,78846.0
1787802300000,78846.0,78916.9,78738.3,78801.8
1787803200000,78801.8,78863.9,78765.7,78827.9
1787804100000,78827.8,78874.0,78745.6,78745.6
1787805000000,78745.5,78787.5,78651.0,78784.0
1787805900000,78784.0,78791.3,78672.7,78746.1
1787806800000,78746.0,78750.0,78612.2,78616.7
1787807700000,78616.7,78772.0,78606.0,78638.3
1787808600000,78638.4,78776.9,78566.5,78681.8
1787809500000,78681.9,78904.7,78676.5,78888.1
1787810400000,78888.1,78888.1,78622.0,78652.1
1787811300000,78652.2,78771.0,78575.6,78633.9
1787812200000,78633.9,78772.1,78633.8,78728.0
1787813100000,78727.9,78818.5,78725.0,78795.6
1787814000000,78795.6,78838.0,78732.6,78803.5
1787814900000,78803.4,78817.7,78720.0,78767.3
1787815800000,78767.2,78850.0,78759.9,78812.0
1787816700000,78812.0,79074.0,78812.0,79054.4
1787817600000,79054.3,79838.9,79015.0,79600.0
1787818500000,79599.9,79715.7,79410.7,79713.0
1787819400000,79712.9,79968.0,79676.5,79879.9
1787820300000,79879.9,79992.5,79642.1,79722.8
1787821200000,79722.7,79848.8,79640.7,79847.6
1787822100000,79847.6,80478.0,79756.6,80463.3
1787823000000,80463.2,80499.9,80165.0,80219.2
1787823900000,80219.3,80248.0,79882.8,79957.8
1787824800000,79957.8,80128.8,79766.5,79899.9
1787825700000,79899.9,79989.9,79300.0,79631.3
1787826600000,79631.3,79643.6,79325.0,79572.0
1787827500000,79572.0,79600.0,79461.0,79599.0
1787828400000,79599.5,79726.2,79521.3,79720.5
1787829300000,79720.5,79739.1,79450.0,79490.1
1787830200000,79490.0,79533.2,79337.0,79396.4
1787831100000,79396.4,79472.4,79131.8,79440.1
1787832000000,79440.1,79532.9,79341.0,79461.7
1787832900000,79461.7,79558.9,79353.1,79512.4
1787833800000,79512.5,79520.0,79226.0,79239.0
1787834700000,79239.0,79323.0,79234.7,79247.3
1787835600000,79247.4,79351.6,79236.0,79332.6
1787836500000,79332.6,79462.6,79272.3,79317.8
1787837400000,79317.8,79330.1,79070.8,79205.4
1787838300000,79205.5,79539.8,78864.0,79492.9
1787839200000,79492.9,79761.3,79308.0,79418.4
1787840100000,79418.3,79880.0,79353.9,79871.8
1787841000000,79871.8,80350.0,79753.0,80323.3
1787841900000,80323.2,80323.3,79961.0,80161.2
1787842800000,80161.3,80766.8,80048.0,80638.1
1787843700000,80638.1,80709.8,80380.0,80564.0
1787844600000,80563.9,80577.8,80311.9,80459.5
1787845500000,80459.4,80479.6,80258.1,80273.6
1787846400000,80273.7,80512.1,80163.0,80377.7
1787847300000,80377.6,80504.0,80357.3,80375.7
1787848200000,80375.7,80607.3,80235.6,80532.4
1787849100000,80532.4,80580.3,80316.2,80335.9
1787850000000,80335.9,80647.2,80200.0,80600.1
1787850900000,80600.1,80845.1,80562.0,80687.8
1787851800000,80687.8,80783.8,80424.7,80459.8
1787852700000,80459.9,80550.8,80400.0,80415.1
1787853600000,80415.1,80415.1,79920.0,80049.9
1787854500000,80050.0,80174.0,79707.0,79888.0
1787855400000,79887.9,79984.0,79793.8,79932.2
1787856300000,79932.2,80120.1,79867.0,80120.0
